,Question,Answer
2110,Uhhuh  , C and  the  ones in Pittsburg of course we see more often 
2111,Do you use celery seed in your tuna fish , I  Im  saying I want to do it  
2112,Uhhuh  ,Gosh  
2113,C and so  no ones going to  have much faith in him any more , Right  
2114,I like to see that  ,C but  E I mean  its F uh  for the top medium of entertainment 
2115,They do wreck things ,they had several futuristic cars 
2116,I have relatives that direction ,Im not either 
2117,So  , with the family members  
2118,D Well  Ive enjoyed talking to you ,C and  thats where most of our F uh  injuries occur 
2119,Right , I   I  dont follow baseball  that   that  closely  
2120,C So    it F uh   ,Yeah  
2121,D Well   thats    thats   pretty interesting  ,C And  
2122,F Oh   I  I  definitely would  ,Uhhuh 
2123,Southwest where ,I have not heard of  it   any  problems of it  flooding anywhere  
2124, take long when the sun came out  ,laughter  I know that sounds funny coming from a woman  
2125,Uhhuh  , its  F uh  breathing its   just really interesting to me how now more aware of things I am  than I  even myself than I   used to be
2126,D Well  thats really sad ,Yeah  
2127,C but  overall we all had a good time  ,Yeah  
2128,C And  that way just create more jobs very faint or whatever ,she said D you know  my parents  they just  they  really wasted a lot of money  
2129,C or  you do it that way  ,I can drive for D you know  ten hours or so and not really be tired in any way 
2130,I dont know what you think laughter about all that ,I guess not 
2131, Yeah  ,Probably  eighty  
2132,C but  E I mean  my mother and  her sisters are always saying F uh  to my cousins and I my female cousins,if I had to put my parents in that nursing home I wouldnt want them there  
2133, and also where they were making tar  , you get to  laughter keep the money 
2134,D well  sometimes Im home  ,Usually consultants make very good income 
2135,Its nice  that its there ,D Well  Im talking to you from Dallas  
2136,D Well  see theres no way of knowing ,C but  usually the size D you know  of F uh   tiny  tiny  pebbles  
2137,yeah  ,C so  you  
2138, I said D well  we had one and we found one with just seventeen thousand miles on it  ,laughter     I  F uh  I   E I mean      I  can relate to that because  Im  Im  going to college right now  
2139,Did you graduate in a certain field  ,Have you 
2140,C so   he went in  ,C And  I think a lot of people either dont care or dont realize it D you know   
2141,Uhhuh ,C So  its like you really have to tell as much as you can which is not much in that amount of time  
2142,Uhhuh ,yeah  
2143,F Oh  uhhuh ,C and  we rented it 
2144,I suspect we should do what everyone says we should do  ,Uhhuh    slash error should be b
2145,F Oh  no ,C But  I think its D like    about sixty dollars a week for two children 
2146,You lose four to six hundred dollars a trade in ,Yes F uh  
2147,I wanted a little more detail  D like  D you know   ,D well   if you  if you   can make yourself do the tread mill E I mean  gosh  thats a good workout 
2148, C so   C but   its  entertaining  , I  I  used to go to a gym F um  last summer  
2149,F Uh  its kind of hard to put my finger  on a  on a    favorite T V program  , C so  we chained him up  
2150,C But  tha  ,F um  D well  Im blank laughter on it 
2151, I  F uh  I   would certainly like to see a real test   of   of   making drugs real cheap ,C and  E I mean  thats 
2152, we  D actually   our division  is corporate wide  ,Its the only one thats still alive 
2153,for years,C But   F uh  we were so F uh  
2154,thats the  same with me   same with me  ,Uhhuh 
2155,C so  , in tandem then 
2156,C and  he said Whoops  ,E I mean  is that like  a  a  sport fish  
2157,yeah  ,the feeling that it       
2158,When I rebuilt the engine on that about a hundred and thirty thousand on the car ,Byebye 
2159, Yeah  ,F Uh  C but  F uh   Ive  Ive  noticed that F uh  this year it seems to have been a lot warmer than it has in the past 
2160,Uhhuh , Uhhuh  
2161,Yeah ,They do 
2162, F uh  D well  thats interesting  ,F oh  I would love one of these 
2163,C and   its  its  really  not  D you know  not  that far ,Yeah 
2164,its  ,C And  I had a hatchback  a nineteen seventyeight version before this one 
2165,Uhhuh ,D Well  gee whiz  
2166,C But  when youre doing the guilty father  complex D you know  because hes not there to watch us grow,I havent F uh  talked to anybody  outside the Metroplex  
2167,you just have to stick with it ,finally through her perseverance  and writing enough letters to enough different people embarrassed enough of  the   the   middle F uh   bureauc   bureaucracy  that they finally let her go 
2168,goof around  ,they do  
2169,these people were recommended by a neighbor  ,you could interpret it that way 
2170,Yeah ,as you said for someone  who   D you know   a more    D you know  who   needs to learn selfdiscipline and so forth would be appropriate for them 
2171,F Oh  yeah ,Oh 
2172, that they have got  ,Of course you probably wear coats a lot 
2173,F Uh   He  he  also wrote PEOPLE OF THE LIE ,C and  
2174,how about when they were younger  ,Well theyre the ones that need the homes 
2175,Uhhuh ,yeah   
2176,Huh ,C and  we pretty much keep those maxed out 
2177,C and so  we were on top of a picnic table with  our  our  sleeping bags I guess  ,definitely  
2178,It really is for a noncontact sport,I dont think it would 
2179,for example  ,F Oh  yeah  
2180,whos going  , these kids are fourteen years old  
2181,Uhhuh ,Yeah  
2182,Im in Dallas Texas ,Yeah  
2183, C and  it really is pretty ,That F uh   
2184,C and  as you say F uh  going halfway was probably worse than F uh    committing   F uh  committing  to a completely  and F uh  winning it whatever that would mean ,Uhhuh 
2185,C so  hopefully our budget will in increase then ,I used to be in D S E G myself
2186,C and  we go out and take them out on their barge  ,C so 
2187,Bradfords north of us ,because I started to say  you can   theres different times they say its okay to do it 
2188,Right ,C And  of course they had a lot of musicians  from  from  other countries 
2189,I dont know what I would do without my friends having all their kids ,  a  a   a  years plenty of time 
2190,C and  I know that we very often wore heels despite the fact that,Laughter
2191,F Oh  okay ,I     think there was only D like  six or eight countries in the world that have capital punishment still 
2192, It   they  really have  to rely on businesses that generate a lot of that stuff , when its your only car 
2193,C and  its a delicious thing  ,in the summertime I wear the light cotton  
2194,Uhhuh ,yeah  
2195,Uhhuh  , C but  F um  I dont know  
2196,seems that those things  happened befor   did not happen in that manner before television , in on this 
2197,Yeah  ,Right  
2198,you can work with it a lot easier ,Where in Colorado 
2199,C and  you pay the tax based on how much you polluted , like  just  like just   about every other state in the union they have a felony law  
2200,Uhhuh ,C but    it  it   it   
2201,Yeah  ,The worst one for smog is Mexico City 
2202, I enjoyed talking with you  ,I was reading something in F uh  CONSUMER REPORTS tonight about that as a matter of fact  
2203,Uhhuh ,Its too easy  to  to  run into the gas station 
2204,F Uh  I thought it  a good idea too  though would be to extend this and make people that are accepting public welfare have to do  something along this line before they got any money ,Im going to be real good  
2205,Okay  ,  To   to   give you specific titles   I   I    cant     sd
2206,you  ever heard of Lufkin ,Uhhuh 
2207,Shes not bogged down  ,Laughter Yeah  
2208,I dont think theres anywhere where there isnt going to be crimes ,Wow thats great 
2209,Somebody that doesnt really put a lot of overhead whatever into it  ,Yeah  
2210,Im not  su  exactly sure  F uh  what the circumstances surrounding the deaths  , they  offer 
2211,C And  let me tell you they are nothing nice to go up against ,right 
2212,thats really true ,Right  
2213,C And  laughter I dont even have to look  my   my   words up anymore ,C so  
2214, Throatclearing F Uh   I guess it ,C so  they  co  could  subsist 
2215,They eat it one to two meals everyday , and studied every bit of material that  I could study  
2216,The what ,  C and  its kind of boring standing there putting on makeup  so Ill turn the radio on  
2217,C But  with them they have no idea if youre just sort of jumping,Uhhuh 
2218,Yeah , Right  
2219,F Oh  my God ,C And  if you could show that  
2220,I just mean  that  that   the world in general laughter ,D You know  I think thats changed just in the last generation
2221,Yeah ,F Oh  you are 
2222,C and  the other one was F oh  I cant remember what  ,You dont have to have mountains that are stopping it 
2223,Yes  , Is  is  that the same way as with the aluminum cans noise where you go  
2224,Uhhuh ,No  
2225,C but  I couldnt imagine that they came in and painted it the whole ceiling D you know  just within a couple of hours , to  F uh  help them out  
2226,Right , C so  depending on what your major is or medical you might want to   atteck some   F um  attend somewhere  like Tech  
2227,Not for a long time anyway , I  I  would much rather  that   do that
