Question,Answer
    ,Laughter
theyre still in elementary ,C and  when the fire engine was delivered the fire house wasnt big enough  so  they  bo  bought  a new  E or  built a new  one 
 not that I can type very fast either  ,theres one big one that has come off  
C because  , It  its  just the idea that there is this one spot where the white man has come by and killed a bunch a buffalo and just stripped  its hide  the hides   
Oh ,D Well  needless to say here in Washington D C laughter this is the war zone  
C or  is it passed ,Yeah  
Right ,C but   I  I  havent specifically heard anything about that 
C but  I know we havent cured it yet by a long shot ,  what   what would you    what  would   has  your  experience lead you to advise F uh   if my child were thinking of going to the Air Force Academy  
 Uhhuh  ,Yes  
F Oh  thats pretty good size  ,youre either liberal  or youre conservative 
I think  they  F uh  they  need security  ,Laughter
Laughter after five oclock in the afternoon ,F oh  no  
Wow , it  just  
Yes ,Its the longest  
There ,C but  its pretty  good training I think really keeps her on her toes laughter 
 and  watch it like four or five times a day ,C but   F uh 
if some people they have  ,C And  I guess thats all gone  
 There   isnt,Laughter Yeah  
D well  that F uh   ,E I mean  it was all right  
here about F uh  what  ,C so  they had not much participation  
D So   F um  yeah  ,C But  just by the mere fact of outlawing handguns would make it so that it would be not as conspicuous  
getting back to your sons football practice because it really sort of astonished me that police arent doing  ,Yeah  
C because   we were  D you know  we were   trying to make the house look nice to sell it  ,No  
F Oh  yeah  ,Your parents might remember if they were here then 
C and then  we get more money back D you know  at the end of the year ,C and  the parents will tell him that there is a verse in the Bible that will help him with that  
Uhhuh ,Yeah 
C so  its hard for us to get out and go to the movies  ,C because  throatclearing D you know  if we dont want that to happen all we have to do is just call the phone company and say look D you know  I want my name unlisted or want  my D you know   
Have you seen the rest , Uhhuh  
 It  its   really   s    ,C And  we had to walk before we had a car 
uhhuh ,F Oh  yes 
Hi  ,She always lived here in the south  
Huhuh ,F um  C and  being a F uh  a very old hippie laughter
Yes sir ,the Interior Minister  of  in  England
C But  E I mean  thats going to tend to  ,I havent fished in several years 
Do you find that F uh  to be boring ,I have no idea  
  a big problem  ,I dont think it had to do to with woman running against man  
we need to put restrictions on them talking ,C But  
was really happy to see that  ,I think thats right  
 C and  the question is who was he going to pay it to , Laughter  Yeah   
Popping,no  
thats neat ,Uhhuh 
 Laughter talking , Its  its  a  nice  F uh  relatively nice  environment  
terrible  ,C And  F uh  Ive seen what it has done in other countries  
F uh  C and  if you recall how it goes downtown, Uhhuh  
 C and  it  C and  its   dangerous  ,C But  weve had some pretty nice weather  
ratio of injuries  in baseball ,And not have any care 
I just get aggravated about it  ,C and   I   I  have an automatic I cant drive a standard   Why werent the 2 indep clauses split up into separate slash units 
laughter,C and  its  
C so  I like to watch that  ,Right 
Okay  ,   Ev  ev   everybody  in the world will offer you  a  a  credit card 
C And then  when the ship docks you get to go sightseeing and shopping ,C and  theyre making money off that 
Goodness , just Dallas in general  
C because  theyre  ,C and then  they go and say Im not c  
 D you know     ,Sneezing Im sorry 
 other than  that   D you know  those three months when its pure dog work ,C and  I know everyone  D like  in the high schools in Dallas  
C So   ,Oh 
All right  ,I think the major thing they need to  correct is how long it takes something to get to jury and to get to trial 
Uhhuh ,Strange 
D Well  yeah  ,C So  F uh  D you know   I didnt have access to a machine the whole time I was in college 
Maybe even a  little more a day or so more than the average ,     C because  I didnt need it 
C and  thats who I work with ,F Oh  really 
Uhhuh ,I guess it was about four years ago   
A friend of mine is also a doctoral student down there ,unfortunately scallops are one of the more expensive F uh  fish items 
Cough Throatclearing C But   E I mean  I pay them gladly  ,F Uh  no  
 or like the news because they would always have D like  the wonderful investigative reports D you know  is your kids bus driver smoking crack,Uhhuh 
D See  I grew up in Nebraska  ,Laughter
 C but  I dont get  anybody at five thirty  dont get anybody at nine at night  ,I think that for so long power financially uh governmentally every which way was in the hands of such a few 
Right  , C And    C and then   they say D well  if you give them the right to do this then theyre going to take some other right away from you  
C or  if youre going to do sport shooting  you can wait a week ,it said the creeks will foam 
  Where  where  are you from ,C And   that  to me D well  that   D you know   
  I    I   F uh  I  have modem       night computer  , in  in  Plano its open classroom situation where they dont have walls 
There were a hundred schools probably there ,C But  F uh  childtalking 
they get real fat ,D Well  great  
C but  breathing it seems to be going okay ,Uhhuh 
Have you tried Mother Mesquites , C And   C and   we opened up  the  the  hood  
were getting off the subject here a bit ,C but  F uh  now they have whats called the World Football League  
Uhhuh ,D So  did they scratch  those  F uh  that  Star Wars deal D you know  they one we was all worried about   the they in this sentence should probably be a the
D Well  thats a , D Like    Gives them a little too much power laughter 
D Well  I think it is F uh  basically the same way  ,and and I dont
I come home from  work  ,D Well  
 it is  ,C But  F um  D you know  I do think that maybe  well get a female next time and  just  had her  have her  spayed D you know   
 Right  laughter  ,  I  I  would hate  to be in a position  where that was all I could afford  
I enjoy classical too  ,uhhuh  
Yeah ,Noise
C and  if he cant produce evidence ,It was real good talking to you 
 or  five  ,have all these people being tested  
One of our favorite places here  in   in  the Dallas area is Atlantic Cafe  ,really they could move right into the spare room laughter 
 everything ,F Oh  yeah 
good  ,Laughter Yeah  
and I I even have a tendency to do that myself  ,I guess right now my criteria for cars is F uh   of   being solid able to take an impact laughter  
really weird names D like  The Dead Milkman  ,I swear to God he works from eight 
We weve had thirty some odd cars in our married life  ,C But  F uh  
 know what we would replace it with laughter , of credit cards 
Ive heard about it  ,I can work seven  days in a row and take a week  off or whatever I want to do 
Yeah ,it didnt take me very long to hot foot it over to the school 
Bye ,D well  it wasnt the matter of wealth  
Uhhuh ,Yeah laughter  
Yeah , Yes  
D You know  the Schnauzers are a little aggressive ,C But  F uh  I have in times past gotten  into a bit of trouble with credit cards
C and   F uh  , We live  F um  D well  Im close  to Salt Lake  
Laughter  Dont you like cats ,Yeah 
Yeah ,Uhhuh 
all the little,Uhhuh  
yeah  ,Okay 
 and letting them know theyre loved and stuff , were  were  smarter now 
Its a research type project on ,F Oh  yeah  
C and I guess I would fall more in the  the realm that I like the sport issue of it  ,D Well  Im glad tha  
I had absolutely no money to my name and  bought that  ,Yeah  
breathing our house  when I  when I   was growing up there was almost never F uh  at least one cat in the house ,I think it has been F uh    four  three or four  years  Or  five even F uh  since they have  had it    tried to get everybody together  
C but  throatclearing   they were  half have been professionals from   F uh  a lot of them are from  F uh  faculty at Penn State here ,C So  you need  
