Question,Answer
{C and } a lot of times we'll go to rent a movie or something  /,"{F Uh, } {D well } <noise>, about a day, day and a half in the crock pot, {F uh } --"
"Yeah,  /","{F Uh, } they ate dinner at the table together.  /"
Okay. /,"I think there's {D like } twenty-six different languages now,  that are spoken in [ I, + the I S D. ] Dallas Innercity School District. /"
"one lives in Connecticut,  /",I tape it. /
like  when my sister was real bad before she died --,Uh-huh. /
"[ I, + I ] read it.  /","Let's see,  /"
Uh-huh. /,Uh-huh. /
"{C But, } {F uh, } {C and then } there's a new  sitcom on that is, Tim Allen's, {F uh, } {A what is it, }  {F uh, } HANDYMAN.  /",{D like } air attacks and stuff like that dropped off like crazy. /
"{F Oh, } [ it's, + it's ] really good.  /",Yes. /
"{F uh, } already grown. ] /","# [ soci-, + social ] morals were a # little bit lacking. /"
beat them  and they wouldn't come forward.  /,"[ {C And, } +  {F uh, } {C and } ]  I think the people were smart enough to realize that,  /"
"[ {C But, } really, +  {C but } ] huge sharks --","{C but } they didn't have the money to restructure,  /"
"{C and } they found him guilty,  /","{D Well, } that's good. /"
"Right,  /","{C And } every time [ a, +  a ]  fire truck or anything went down the road, I would wake up,  /"
"[ [ {C And, } +  {C but, } ] +  {C and } ] his accuracy is what's so startling with it.  /",-- {C and } I'll order steak or steak and lobster combined -- /
"{F Oh, } yeah,  /","I sure do like the looks of that new [ Mit-, + Mitsubishi ] Diamante. /"
-- back and forth  /,"[ {C and } I, + {C and } I ] got, {F uh, } chicken marinara the last two times. /"
"{C Because } they're coming [ from, + {D you know, } from ] the slash and  burn intercultural society, {D you know, }  /","{C and } I think, {F uh, } that's making Gorbachev and others realize that, {D hey, } maybe this Communist thing isn't working. /"
"{D Like } we, - /","{C and }  the kind of loan we got, you really didn't have to put down anything. /"
"{C so } we can, {D you know } -- -/",You know.  /
That would be lovely. /,"-- being anticrime,  /"
"Yeah,  /",Just hang up.  /
that's ] the same manufacturer  /,Uh-huh. /
"{C or } do you have powered, #{D you know, } [ a, + ] # -/","Yes,  /"
"it's just that [ trying to, + trying to ] get what you need [ out of, + out of ] what you have.  /","Don't you have to spend the minimum of two, three hundred? /"
Big boom. /,"{F Um, } [ there, +    [ {E I mean, } + {E I mean }  ]  we're, ] have  to be, - /"
"He needs your vote just like he needs everybody else's,  {D you know. }  /","up around the Keystone  and Copper Mountain, those guys will love that.  /"
"I know, how we  ((   )) [ and + ] straighten up all these twisted people before they do something terrible, /","{F Uh, }   [ some people just, +  {F uh, } I've heard some people just ] talking in our group of friends that they just feel it's an invasion of privacy and things like that,  /"
Yeah. /,"[  I am, + I work ] [ at, + for ] the Air Force. /"
Yeah. /,"Man,  /"
"--  and, or SPORTS ILLUSTRATED,  /",{D Well } I'll be looking for it then. /
"{F Um, } {D well, } I don't know if you know,  /","{D you know, }  /"
"{C and, } ]  {F uh, } they [ try to, + tend to try to  ] [ do, + outdo  ] each other with raciness, I think, /","<Lipsmack> {C But } from talking to people  in other districts there are some major problems, {F uh, } with dropouts.  /"
"I have some friends who go out every single weekend,","{C And, } {F um, } I like to read books on improve, like family, marriage, {D you know, } things that are written by {D like } Christian authors or, {F um, } doctors about family and, {D you know, } how to improve your home and all that kind of thing.  /"
"Yeah,  /","or not,  /"
Uh-huh.  /,uh-huh. /
"The only thing that [ I, +  I  ]  visited that, {D you know, } is quite a tourist spot is Cancun, Mexico. /",{F Um. } /
"{C and, }  {E I mean, }  they looked like a closet to me.   {D You know, } with a desk in it, [ a + ] real small.  /","{F uh, } what was his name Wolf Blitzer? /"
"{C and } we thought {D well, } we'll take advantage of it and see what all the Pacific coast is like. /","I kind of missed it this year, and felt bad,  /"
I like Moody Blues.  /,# {C and } # that's why they were opposed to it. /
{C And } they'll take them places -- /,<Laughter>.
"want an editor, they don't come <laughter>. /",{C but } <laughter>. -/
"I just graduated from college in May,  /","yes,  /"
"Anyway that's what we have,  /","{D Well, } {D you know, } [ the other, +"
I don't.  /,"Yeah,  /"
{C and } I like to cycle a lot.  /,"{C But then }  the follow-up the next day was, - /"
One year I didn't put anything on  /,{C So } that's definitely something.  /
"[ {C and, } +  {C and } ] actually  I agree, except that I don't trust the people who are appointed to vote <laughter>. /",Uh-huh. /
Uh-huh. /,uh-huh. /
Uh-huh. /,"{D Well, } I guess we probably talked just about long enough. /"
"{C or, } -/","I've # got a chicken casserole that's like that, # [ that, + that ] I've, # -/"
"Okay, {D well, } that's about the same time as me, I came down in eighty-two. /  *[[ Looks like 3 slash units here to me. ]]",Bye-bye. # /
Okay. /,# Yeah. # /
Who are the trumpet players? /,"Yeah,  /"
Right. /,{C But } I always feel like I would never put my  parents in either  /
"<<ends conversation with husband>>. He was trying to think of what the name of it was, /","Yeah,  /"
it's quite cold and --,yeah. /
"when you do a lot of  outside, {D like } running and stuff, it's just so much easier,","{C But } there's just so many people that can't afford to pay anything, {D you know, } - /"
Uh-huh. /,{C and } every other day they do your recycling trash. /
"{F Oh, } yeah? /","{F Uh, } probably not.  /"
"[ {C and, } + {C and } ] we're in the middle of the bathroom now.  /",Uh-huh. /
"{C and } then my husband wanted a Labrador puppy,  /","So, } [ [ I, + I'm, ] + I ] couldn't live my  life without a P C.  /"
-- with Demi Moore. /,it is.  /
I ((just don't)) know it. /,"Well, I guess, it has to do with a lot of the stuff that I find out I am paying for now."
"# I think so, #  /",{C So } it is a forty-five minute drive to the mountains  /
"{D Well, } {D well }  I've enjoyed talking to you. /",# good talking to you. # /
Uh-huh. /,"[ {C so. } + {C But, } ]  {F uh, } {D well } you ought to try that.  /"
<Laughter>.,"[ {C and } I've got, + {D yeah, } {C and }  I've got ] a HISTORY OF KINGSLEY, IOWA. /"
"{E I mean } when you   a religion that most of the people go to church and they don't understand when anything is being said [ yet they're, + yet they're ] expected to bow down to it, I think that keeps people in sort of line, {D you know. } /",those kind of crimes deserve some kind of severe punishment.  /
That is correct. /,-- dune <laughter>. /
"{D Well, } you must have done something.  /",{C or } is that just a chore?  <laughter>. /
"-- {C and } [ then pop-u-, + ] is it pop-up? /",{C and } it was really devastating  /
"[ I, + I ] do it every morning --",Central America <<very faint>>. /
Uh-huh. /,"{D Well } the most recent movie I saw, {F uh, } I'm afraid was, {F uh, } - /"
exactly.  /,"{F Oh, } good # <laughter>  /"
Bye. /,"-- {E I mean, } [ [ from, + from ] my, + from what ] I experienced in them,  /"
"Are they paroling,  {F uh, } like murderers  /","{F Uh, } /"
"He's, {F uh, } {F um, } {F uh, } {F oh, } not an obstetrician, [ an, + an ] orthopedic surgeon. /",I don't get as much exercise as I used to  /
{C Or } even making the playoffs  /,"{C And, } {D so, } {D you know, } he has these stacks of Sunday newspapers that go unread  ... /"
"my nearest neighbor's about a half a mile at least, /","{F uh, } I don't really know of anyone [ that's {D like } look-, + that's looking  ] for colleges now, {D you know, }   [ because  it, + ]  with the exception of, {F uh, } people's younger brothers and sisters.  /"
"Yeah,  /",Yeah. /
"[ That's the, + that's probably the ] major question. /",Madonna can do anything  /
"# and # having your microwave <laughter>, /",<Laughter>.
Yeah.  /,"{C and } I've got twenty-two year old male [ [ chil-, + child, ] + children, ]  /"
"# Do you # think the program came # first or the, # -/","health maintenance programs, /"
"-- no deductible on the medical, all these things, {D you know } -- /",{C but } I'm just not experienced enough with  /
"No,  /","{F Oh, } {D well, } that's nice. /"
"[ It is, + it is ] something I enjoy doing.  /",I don't think so. /
"{D Gee, } like starting over, # I guess. # /","# The union,  /"
"{C but } I guess it also,  {F uh, } brings about allergies,  /","{F Oh, }"
# Right. # /,"{C and } I don't know what affiliate of Payless Cashways you have up there,  /"
"{F Uh, } [ what, + what ] contacts do you have with the public school sy-, -/","{D like } my American Express  I use for, {D you know, } gas, things like that,  /"
"Uh-huh,  /","{F Oh, } that's nice.  /"
yeah. /,"[ you would know, + the whole world would know ] what you were facing.  /"
"it's just that sometimes it's not the right people,",<Laughter> Yeah -- /
"-- that stays green all winter,  /","I can't believe they can, - /"
I did. /,Uh-huh. /
-- CHORUS LINE -- /,"I guess, {D you know, } as far as comedies go, probably my favorite is YOUNG FRANKENSTEIN. /"
"I had [ pol-, + {D you know, } the required political  ] science class --",I felt I was losing my family. /
"[ {C And, } + {C and } ] the other book  I am trying to think, {D you know, } {D like } was in the last year  /",Hello. /
"{F Uh, } in Texas, we have to meet certain state standards in order to operate [ on a, + at an ] institutional level and at [ a, + {D like } a ] small home level  /","I saw that one,  /"
"<laughter> {C and so } [ I, + I ] don't know. /",# other # southern states. /
"-- I was glad he did that, for young kids,  because a lot of kids would have ended up dying because of what he was promoting. /","He's got to be pretty much,  {D you know, } - /"
"Do they have classes for them during the summer, too? /",-- a lot of news things.  /
Is anybody? /,"I bet that was a good day, at the {D yeah, } conference then. /"
definitely. /,<Laughter> I'm twenty-six. /
"I don't know,  /","{F Uh, } [ d-, + ] {D you know } to get the work load shared. /"
{C and } we lived there for about nine months  /,"Yeah,  /"
"I, -/","Ye-, -/"
"{F Oh, } okay. /","it took us, <lipsmack> almost a year to get a garbage sack full.  /"
"{C and  they, {F uh, } - /","{C so } I drove on those brake pads for, {F uh, } {D you know, } forty-five thousand miles  /"
"How far out from the city, {E I mean, } do you, -/","there's a little sensing  device, {F uh, } [ in front of my, + {F uh, } <<pause>> {F um, } {A I'm not sure, }  right in front of ] the [ f-, + fan, ]  /"
"{C and } I thought, {D well } I'm [ going to t-, + going to carefully take  ] those hoses off. /","{F Oh, } is that right? /"
"We didn't know that was a big no, no. /","{C but } I think our latest [ sat-, + statistic ] said something like ninety-nine point nine eight percent were, {F uh, } testing negative [ on all the dru-, -- +"
Yeah. /,"{C but, }  {F uh, } -/"
"There's where individuals will <swallowing> in one, primarily babysit --","He went to Vietnam one man and came back another,  not better. /"
Yeah. /,# your rice # cooker.  ] /
"{C And } there were some others,  /",Gives her a little bit of her own independence -- /
"{F Oh, } that would be great.  /","{F Oh, } uh-huh. /"
Do you? /,"our family,"
{C because } every penny I bring in is ten percent to me.  /,"{C but, }"
"{F Um, } there was an Agape music group,  /",Yeah.  /
"[ With, + with, ] {F uh, } recent generations [ I, + I ] know exactly what you are talking about,  /",Uh-huh. /
"{D Well, } we have some very nice [ hou-, +   homes ] here in this area.  /","{C but } {D you know, }  what, he, - /"
Uh-huh. /,"Yeah,  /"
"# {D You know, } # it had gotten that bad. /",yeah. /
"{C And } it seems like I've been, - /","{F Oh, } yeah. /"
